,area_type,availability,total_sqft,price
5376,Super built-up  Area,18-May,1216,73.0
5377,Super built-up  Area,Ready To Move,1300,98.0
5378,Super built-up  Area,Ready To Move,1390,65.0
5379,Super built-up  Area,19-Jul,1033,52.58
5380,Super built-up  Area,19-Dec,1390,65.31
5381,Super built-up  Area,Ready To Move,1020,52.0
5382,Super built-up  Area,19-Dec,524 - 894,34.735
5383,Super built-up  Area,18-Oct,1140,45.0
5384,Super built-up  Area,Ready To Move,670,36.85
5385,Super built-up  Area,18-Jul,2171,111.0
5386,Super built-up  Area,Ready To Move,1136,48.0
5387,Built-up  Area,Ready To Move,1477,80.0
5388,Super built-up  Area,Ready To Move,1001,30.0
5389,Super built-up  Area,19-Dec,1040,48.86
5390,Super built-up  Area,Ready To Move,1060,48.5
5391,Super built-up  Area,Ready To Move,1240,44.3
5392,Super built-up  Area,Ready To Move,3500,450.0
5393,Super built-up  Area,Ready To Move,42000,175.0
5394,Super built-up  Area,20-Dec,1070,46.0
5395,Built-up  Area,Ready To Move,1253,65.8
5396,Super built-up  Area,Ready To Move,1190,60.0
5397,Super built-up  Area,Ready To Move,1312,55.0
5398,Built-up  Area,Ready To Move,750,40.0
5399,Built-up  Area,Ready To Move,1615,115.0
5400,Built-up  Area,Ready To Move,1095,60.0
5401,Super built-up  Area,Ready To Move,1745,100.0
5402,Super built-up  Area,Ready To Move,1050,52.5
5403,Plot  Area,Ready To Move,2080,440.0
5404,Super built-up  Area,Ready To Move,1220,44.6
5405,Super built-up  Area,Ready To Move,1793,98.0
5406,Super built-up  Area,Ready To Move,1100,45.0
5407,Super built-up  Area,Ready To Move,1385,65.0
5408,Super built-up  Area,Ready To Move,1200,45.0
5409,Super built-up  Area,Ready To Move,2017,125.0
5410,Super built-up  Area,Ready To Move,400,10.0
5411,Super built-up  Area,18-Apr,1400,44.81
5412,Super built-up  Area,Ready To Move,960,33.0
5413,Super built-up  Area,Ready To Move,1125,47.0
5414,Super built-up  Area,Ready To Move,1551,60.0
5415,Plot  Area,Ready To Move,600,122.0
5416,Super built-up  Area,Ready To Move,1246,67.4
5417,Built-up  Area,18-Apr,3200,224.0
5418,Super built-up  Area,Ready To Move,1060,48.0
5419,Super built-up  Area,Ready To Move,1384,59.0
5420,Super built-up  Area,Ready To Move,620,23.0
5421,Super built-up  Area,18-Jun,1005,39.77
5422,Plot  Area,Ready To Move,1200,128.0
5423,Built-up  Area,Ready To Move,1400,35.0
5424,Super built-up  Area,Ready To Move,2400,88.0
5425,Super built-up  Area,Ready To Move,1096,39.0
5426,Super built-up  Area,Ready To Move,1180,50.0
5427,Super built-up  Area,Ready To Move,1300,47.0
5428,Plot  Area,18-Apr,1020,62.0
5429,Plot  Area,Ready To Move,600,35.0
5430,Super built-up  Area,Ready To Move,3563,310.0
5431,Super built-up  Area,Ready To Move,1165,47.0
5432,Super built-up  Area,18-Mar,1685,100.0
5433,Super built-up  Area,Ready To Move,1580,53.56
5434,Super built-up  Area,Ready To Move,1210,83.0
5435,Super built-up  Area,Ready To Move,1030,25.75
5436,Built-up  Area,Ready To Move,1100,43.5
5437,Super built-up  Area,19-Dec,1255,77.68
5438,Super built-up  Area,20-Dec,1482,86.0
5439,Super built-up  Area,Ready To Move,1344,108.0
5440,Super built-up  Area,18-Jun,1275,39.8
5441,Plot  Area,Ready To Move,462,38.0
5442,Super built-up  Area,Ready To Move,3300,318.0
5443,Super built-up  Area,Ready To Move,1210,85.0
5444,Super built-up  Area,19-Jun,1320,226.0
5445,Super built-up  Area,19-Mar,1532,98.13
5446,Super built-up  Area,Ready To Move,1245,110.0
5447,Super built-up  Area,Ready To Move,1212,50.0
5448,Super built-up  Area,18-Oct,1230,65.0
5449,Plot  Area,Ready To Move,1000,180.0
5450,Super built-up  Area,Ready To Move,2257,159.0
5451,Super built-up  Area,Ready To Move,1246,65.4
5452,Super built-up  Area,Ready To Move,1080,41.0
5453,Plot  Area,Ready To Move,3Cents,75.0
5454,Super built-up  Area,Ready To Move,1360,85.0
5455,Super built-up  Area,Ready To Move,1260,47.88
5456,Built-up  Area,Ready To Move,1200,110.0
5457,Super built-up  Area,Ready To Move,1418,104.0
5458,Plot  Area,Ready To Move,1200,165.0
5459,Super built-up  Area,Ready To Move,950,39.0
5460,Super built-up  Area,Ready To Move,1020,55.0
5461,Super built-up  Area,18-May,1400,40.44
5462,Plot  Area,Ready To Move,1440,88.0
5463,Built-up  Area,Ready To Move,800,75.0
5464,Super built-up  Area,18-Sep,1310 - 1615,62.81
5465,Super built-up  Area,18-May,1175,69.0
5466,Super built-up  Area,Ready To Move,1185,40.17
5467,Super built-up  Area,Ready To Move,2250,113.0
5468,Super built-up  Area,Ready To Move,1178,40.43
5469,Super built-up  Area,Ready To Move,36000,450.0
5470,Super built-up  Area,Ready To Move,825,44.9
5471,Super built-up  Area,18-May,1250,43.0
5472,Super built-up  Area,Ready To Move,1113.12,55.0
5473,Super built-up  Area,Ready To Move,1718,223.0
5474,Super built-up  Area,Ready To Move,1010,35.0
5475,Super built-up  Area,21-Dec,900,41.0
5476,Plot  Area,Ready To Move,1500,240.0
5477,Plot  Area,Ready To Move,540,16.5
5478,Super built-up  Area,18-May,1020,29.46
5479,Super built-up  Area,18-Jun,1194,71.64
5480,Plot  Area,Ready To Move,1470,300.0
5481,Plot  Area,Ready To Move,600,100.0
5482,Super built-up  Area,Ready To Move,1108,67.15
5483,Built-up  Area,Ready To Move,3895,451.0
5484,Super built-up  Area,21-Jan,700,34.99
5485,Super built-up  Area,Ready To Move,1600,68.0
5486,Super built-up  Area,Ready To Move,1850,90.0
5487,Super built-up  Area,Ready To Move,1250,33.0
5488,Built-up  Area,Ready To Move,600,43.0
5489,Super built-up  Area,Ready To Move,1140,49.27
5490,Super built-up  Area,Ready To Move,1200,75.0
5491,Super built-up  Area,Ready To Move,985,55.0
5492,Super built-up  Area,Ready To Move,982,55.0
5493,Built-up  Area,Ready To Move,600,20.0
5494,Super built-up  Area,Ready To Move,2640,142.0
5495,Super built-up  Area,Ready To Move,1314,68.8
5496,Super built-up  Area,Ready To Move,1700,68.5
5497,Super built-up  Area,18-May,1077,93.0
5498,Built-up  Area,Ready To Move,1782 - 2000,66.165
5499,Super built-up  Area,Ready To Move,2000,99.0
5500,Super built-up  Area,Ready To Move,1643,75.0
5501,Plot  Area,Ready To Move,1200,67.0
5502,Super built-up  Area,Ready To Move,1116,51.91
5503,Super built-up  Area,Ready To Move,1020,41.82
5504,Built-up  Area,Ready To Move,621,64.0
5505,Built-up  Area,Ready To Move,1740,55.0
5506,Super built-up  Area,18-May,1225,47.0
5507,Built-up  Area,Ready To Move,1241,61.0
5508,Super built-up  Area,Ready To Move,1041,40.6
5509,Super built-up  Area,Ready To Move,1050,46.0
5510,Super built-up  Area,18-Mar,4400,901.0
5511,Super built-up  Area,21-May,1309,64.39
5512,Super built-up  Area,Ready To Move,1128,45.0
5513,Super built-up  Area,Ready To Move,1430,50.0
5514,Super built-up  Area,19-Dec,1065,47.86
5515,Super built-up  Area,Ready To Move,1085,64.0
5516,Plot  Area,Ready To Move,750,30.0
5517,Super built-up  Area,Ready To Move,981,37.28
5518,Carpet  Area,18-Dec,1548.3,129.0
5519,Super built-up  Area,Ready To Move,2302,300.0
5520,Built-up  Area,Ready To Move,1410,60.0
5521,Super built-up  Area,19-Mar,1525.84,117.0
5522,Super built-up  Area,Ready To Move,1200,42.6
5523,Built-up  Area,Ready To Move,1030,80.0
5524,Super built-up  Area,Ready To Move,1852,95.0
5525,Built-up  Area,18-Dec,1160,33.5
5526,Built-up  Area,Ready To Move,918,49.0
5527,Super built-up  Area,19-Dec,1255,90.0
5528,Plot  Area,Ready To Move,1200,250.0
5529,Built-up  Area,Ready To Move,1150,49.9
5530,Super built-up  Area,Ready To Move,2700,324.0
5531,Built-up  Area,18-Mar,1150,69.0
5532,Super built-up  Area,Ready To Move,1227,53.49
5533,Super built-up  Area,18-Dec,1255,77.68
5534,Plot  Area,Ready To Move,840,120.0
5535,Super built-up  Area,Ready To Move,1198,82.0
5536,Plot  Area,Ready To Move,1200,160.0
5537,Built-up  Area,Ready To Move,188.89Sq. Yards,180.0
5538,Built-up  Area,Ready To Move,2600,95.0
5539,Super built-up  Area,Ready To Move,2072,139.0
5540,Super built-up  Area,Ready To Move,797,32.0
5541,Built-up  Area,Ready To Move,1350,68.0
5542,Built-up  Area,Ready To Move,2500,200.0
5543,Super built-up  Area,Ready To Move,2215,160.0
5544,Super built-up  Area,21-Dec,525,30.0
5545,Super built-up  Area,Ready To Move,2700,260.0
5546,Super built-up  Area,Ready To Move,1500,90.0
5547,Plot  Area,Ready To Move,900,55.0
5548,Super built-up  Area,Ready To Move,1355,58.27
5549,Super built-up  Area,Ready To Move,1465,49.81
5550,Plot  Area,Ready To Move,1006,57.0
5551,Built-up  Area,Ready To Move,2000,75.0
5552,Super built-up  Area,18-Aug,1128,65.7
5553,Built-up  Area,Ready To Move,850,35.0
5554,Super built-up  Area,Ready To Move,1310,68.0
5555,Super built-up  Area,Ready To Move,1390,86.0
5556,Super built-up  Area,Ready To Move,1390,76.45
5557,Plot  Area,Ready To Move,2396,325.0
5558,Super built-up  Area,Ready To Move,1170,33.0
5559,Super built-up  Area,Ready To Move,1385,50.0
5560,Super built-up  Area,Ready To Move,1160,42.0
5561,Super built-up  Area,18-May,1160,33.5
5562,Super built-up  Area,Ready To Move,1200,69.0
5563,Super built-up  Area,Ready To Move,1475,55.0
5564,Built-up  Area,20-Jul,1939,98.0
5565,Built-up  Area,Ready To Move,850,42.0
5566,Built-up  Area,17-May,675,45.0
5567,Built-up  Area,Ready To Move,1060,51.0
5568,Super built-up  Area,18-Jun,1235,47.0
5569,Plot  Area,18-May,600,110.0
5570,Super built-up  Area,Ready To Move,1250,60.0
5571,Super built-up  Area,Ready To Move,1460,70.0
5572,Super built-up  Area,Ready To Move,1690,85.0
5573,Built-up  Area,Ready To Move,850,57.0
5574,Super built-up  Area,Ready To Move,1843,82.0
5575,Built-up  Area,Ready To Move,1680,117.0
5576,Super built-up  Area,Ready To Move,1047,84.0
5577,Super built-up  Area,18-Jun,1100,35.0
5578,Plot  Area,Ready To Move,3250,600.0
5579,Super built-up  Area,Ready To Move,1120,53.0
5580,Super built-up  Area,Ready To Move,1095,38.33
5581,Super built-up  Area,19-Oct,970,35.0
5582,Plot  Area,Ready To Move,1200,125.0
5583,Built-up  Area,Ready To Move,1100,85.0
5584,Super built-up  Area,Ready To Move,1685,85.0
5585,Built-up  Area,Ready To Move,1148,59.0
5586,Built-up  Area,Ready To Move,1050,65.0
5587,Super built-up  Area,Ready To Move,1465,76.0
5588,Plot  Area,Ready To Move,3401,230.0
5589,Built-up  Area,17-Dec,630,60.0
5590,Super built-up  Area,Ready To Move,1850,150.0
5591,Plot  Area,Ready To Move,1200,175.0
5592,Built-up  Area,Ready To Move,1750,225.0
5593,Built-up  Area,Ready To Move,1350,60.0
5594,Super built-up  Area,Ready To Move,1760,160.0
5595,Super built-up  Area,Ready To Move,1440,185.0
5596,Super built-up  Area,Ready To Move,1200,42.0
5597,Built-up  Area,Ready To Move,1100,78.0
5598,Built-up  Area,Ready To Move,1140,46.0
5599,Super built-up  Area,19-Aug,1469 - 1766,73.595
5600,Super built-up  Area,Ready To Move,1410,45.0
5601,Super built-up  Area,Ready To Move,1434,67.39
5602,Plot  Area,Ready To Move,1180,74.0
5603,Super built-up  Area,Ready To Move,1160,42.0
5604,Super built-up  Area,Ready To Move,1343,86.0
5605,Built-up  Area,Ready To Move,1184,69.0
5606,Super built-up  Area,Ready To Move,2246,300.0
5607,Built-up  Area,Ready To Move,4510,200.0
5608,Super built-up  Area,Ready To Move,1305,59.0
5609,Super built-up  Area,Ready To Move,3785,280.0
5610,Super built-up  Area,Ready To Move,1540,85.0
5611,Super built-up  Area,Ready To Move,1550,65.11
5612,Super built-up  Area,Ready To Move,1345,57.0
5613,Super built-up  Area,Ready To Move,975,45.0
5614,Super built-up  Area,Ready To Move,1140,46.0
5615,Super built-up  Area,18-Aug,1152,34.56
5616,Built-up  Area,Ready To Move,3200,700.0
5617,Super built-up  Area,19-Dec,1033,31.5
5618,Super built-up  Area,Ready To Move,1800,230.0
5619,Super built-up  Area,Ready To Move,1102,53.67
5620,Super built-up  Area,Ready To Move,1223,42.81
5621,Super built-up  Area,18-Mar,1762,112.0
5622,Built-up  Area,Ready To Move,560,16.6
5623,Built-up  Area,Ready To Move,2000,85.0
5624,Super built-up  Area,Ready To Move,1410,38.0
5625,Super built-up  Area,19-Dec,1853,64.86
5626,Super built-up  Area,Ready To Move,1455,69.0
5627,Super built-up  Area,18-Jan,1138,110.0
5628,Built-up  Area,Ready To Move,2556,169.0
5629,Super built-up  Area,18-May,1200,66.5
5630,Super built-up  Area,Ready To Move,1200,37.0
5631,Super built-up  Area,Ready To Move,204Sq. Meter,185.0
5632,Plot  Area,19-Jan,1200,36.0
5633,Super built-up  Area,19-Jun,1870,138.0
5634,Super built-up  Area,18-May,1199,86.0
5635,Plot  Area,Ready To Move,800,150.0
5636,Super built-up  Area,Ready To Move,1360,54.4
5637,Super built-up  Area,Ready To Move,1230,53.0
5638,Super built-up  Area,Ready To Move,2000,120.0
5639,Plot  Area,Ready To Move,1200,250.0
5640,Super built-up  Area,Ready To Move,1047,83.0
5641,Plot  Area,18-Mar,6000,260.0
5642,Plot  Area,18-Feb,1200,76.0
5643,Super built-up  Area,18-Jan,1255 - 1350,44.285
5644,Super built-up  Area,Ready To Move,725,30.0
5645,Super built-up  Area,Ready To Move,1645,100.0
5646,Built-up  Area,Ready To Move,870,65.0
5647,Super built-up  Area,Ready To Move,1026,49.95
5648,Built-up  Area,18-Jul,2000,145.0
5649,Super built-up  Area,Ready To Move,1710,200.0
5650,Super built-up  Area,18-Apr,1766,130.0
5651,Super built-up  Area,Ready To Move,500,15.0
5652,Built-up  Area,18-Apr,1100,15.0
5653,Super built-up  Area,Ready To Move,1221,52.0
5654,Super built-up  Area,Ready To Move,680,46.0
5655,Super built-up  Area,Ready To Move,1278,90.0
5656,Super built-up  Area,Ready To Move,1025,66.0
5657,Super built-up  Area,18-Aug,1175,39.0
5658,Super built-up  Area,19-Jul,870 - 1080,28.275
5659,Built-up  Area,Ready To Move,600,75.0
5660,Super built-up  Area,Ready To Move,850,42.0
5661,Super built-up  Area,Ready To Move,710,25.0
5662,Built-up  Area,18-Dec,1165,33.64
5663,Super built-up  Area,18-Apr,625,19.0
5664,Super built-up  Area,Ready To Move,1340,66.0
5665,Super built-up  Area,Ready To Move,937,35.0
5666,Plot  Area,Ready To Move,1500,210.0
5667,Super built-up  Area,Ready To Move,750,52.5
5668,Built-up  Area,Ready To Move,45Sq. Yards,400.0
5669,Built-up  Area,Ready To Move,1475,78.0
5670,Plot  Area,Ready To Move,2230,130.0
5671,Plot  Area,Ready To Move,2200,100.0
5672,Plot  Area,Ready To Move,900,65.0
5673,Super built-up  Area,Ready To Move,1116,37.0
5674,Built-up  Area,Ready To Move,948,75.0
5675,Super built-up  Area,Ready To Move,970,55.0
5676,Super built-up  Area,Ready To Move,1519,67.23
5677,Super built-up  Area,Ready To Move,1200,65.0
5678,Super built-up  Area,Ready To Move,1760,127.0
5679,Plot  Area,Ready To Move,4400,525.0
5680,Super built-up  Area,Ready To Move,1914,179.0
5681,Super built-up  Area,Ready To Move,1820,85.5
5682,Super built-up  Area,Ready To Move,1820,93.0
5683,Built-up  Area,Ready To Move,1565,78.0
5684,Super built-up  Area,Ready To Move,1334,42.69
5685,Super built-up  Area,19-Mar,924,76.23
5686,Super built-up  Area,Ready To Move,914,49.0
5687,Built-up  Area,Ready To Move,500,17.0
5688,Super built-up  Area,18-Mar,2145,125.0
5689,Plot  Area,Ready To Move,1200,162.0
5690,Built-up  Area,18-Apr,1650,100.0
5691,Super built-up  Area,Ready To Move,3940,220.0
5692,Built-up  Area,18-Dec,1020,29.45
5693,Built-up  Area,Ready To Move,1180,58.0
5694,Super built-up  Area,Ready To Move,1255,120.0
5695,Super built-up  Area,20-Jul,2777.29,650.0
5696,Super built-up  Area,Ready To Move,1014,35.0
5697,Built-up  Area,Ready To Move,920,90.0
5698,Super built-up  Area,Ready To Move,695,25.0
5699,Plot  Area,Ready To Move,2273,220.0
5700,Super built-up  Area,18-Mar,1140,48.95
5701,Built-up  Area,Ready To Move,3000,375.0
5702,Super built-up  Area,Ready To Move,1180,41.0
5703,Super built-up  Area,20-Aug,2400,152.0
5704,Super built-up  Area,Ready To Move,850,25.0
5705,Super built-up  Area,Ready To Move,1200,60.0
5706,Built-up  Area,18-Dec,3160,206.0
5707,Super built-up  Area,Ready To Move,1769,96.87
5708,Plot  Area,Ready To Move,133.3Sq. Yards,160.0
5709,Carpet  Area,18-Dec,1554.3,131.0
5710,Super built-up  Area,Ready To Move,1243,46.0
5711,Plot  Area,18-Apr,4920,1150.0
5712,Super built-up  Area,Ready To Move,905,40.0
5713,Built-up  Area,Ready To Move,627,30.0
5714,Built-up  Area,18-Mar,2180,285.0
5715,Super built-up  Area,Ready To Move,2400,260.0
5716,Super built-up  Area,Ready To Move,1435,73.0
5717,Super built-up  Area,22-May,3405.1,400.0
5718,Built-up  Area,Ready To Move,1620,130.0
5719,Super built-up  Area,Ready To Move,1862,125.0
5720,Super built-up  Area,19-Nov,674,19.9
5721,Super built-up  Area,Ready To Move,1220,59.0
5722,Super built-up  Area,Ready To Move,1027,44.0
5723,Super built-up  Area,Ready To Move,1025,49.0
5724,Super built-up  Area,Ready To Move,1430,54.5
5725,Super built-up  Area,Ready To Move,1235,65.0
5726,Super built-up  Area,Ready To Move,1291,32.0
5727,Super built-up  Area,Ready To Move,1498,95.0
5728,Super built-up  Area,Ready To Move,2180,240.0
5729,Super built-up  Area,18-Apr,1000,29.7
5730,Plot  Area,Ready To Move,922,70.0
5731,Built-up  Area,Ready To Move,850,72.0
5732,Plot  Area,Ready To Move,750,155.0
5733,Super built-up  Area,Ready To Move,1123,64.0
5734,Super built-up  Area,Ready To Move,1235,75.0
5735,Super built-up  Area,Ready To Move,1250,55.55
5736,Plot  Area,Ready To Move,2403,360.0
5737,Super built-up  Area,18-Nov,984,45.91
5738,Super built-up  Area,Ready To Move,1305,99.0
5739,Plot  Area,Ready To Move,1200,65.0
5740,Plot  Area,Ready To Move,600,90.0
5741,Super built-up  Area,19-Jun,2790,204.0
5742,Super built-up  Area,Ready To Move,2010,125.0
5743,Built-up  Area,Ready To Move,995,42.0
5744,Built-up  Area,Ready To Move,1277,59.0
5745,Super built-up  Area,Ready To Move,1236,61.33
5746,Super built-up  Area,Ready To Move,1265,67.0
5747,Super built-up  Area,18-Apr,525,27.0
5748,Built-up  Area,Ready To Move,2570,141.0
5749,Plot  Area,Ready To Move,2400,390.0
5750,Super built-up  Area,Ready To Move,1442,56.24
5751,Super built-up  Area,Ready To Move,1224,70.0
5752,Super built-up  Area,Ready To Move,1205,59.0
5753,Super built-up  Area,Ready To Move,1233,100.0
5754,Super built-up  Area,Ready To Move,1312,69.0
5755,Super built-up  Area,Ready To Move,1449,90.0
5756,Super built-up  Area,Ready To Move,1090,54.0
5757,Plot  Area,Ready To Move,2100,150.0
5758,Super built-up  Area,Ready To Move,1390,62.55
5759,Super built-up  Area,Ready To Move,1200,78.0
5760,Plot  Area,Ready To Move,600,50.0
5761,Super built-up  Area,Ready To Move,1000,58.0
5762,Plot  Area,18-Oct,2400,190.0
5763,Super built-up  Area,21-Dec,1732,85.73
5764,Super built-up  Area,Ready To Move,1290,80.0
5765,Super built-up  Area,Ready To Move,1840,85.0
5766,Super built-up  Area,Ready To Move,1917,100.0
5767,Built-up  Area,Ready To Move,1100,57.0
5768,Super built-up  Area,Ready To Move,1455,60.0
5769,Super built-up  Area,18-Dec,2774,208.0
5770,Plot  Area,Ready To Move,1200,255.0
5771,Super built-up  Area,Ready To Move,1425,65.0
5772,Super built-up  Area,18-Dec,1655,113.0
5773,Super built-up  Area,18-Mar,2805,160.0
5774,Built-up  Area,Ready To Move,600,93.0
5775,Super built-up  Area,Ready To Move,1040,46.79
5776,Super built-up  Area,Ready To Move,1126,55.0
5777,Plot  Area,Ready To Move,1600,200.0
5778,Super built-up  Area,Ready To Move,1250,55.55
5779,Plot  Area,Ready To Move,1800,180.0
5780,Plot  Area,Ready To Move,1200,53.0
5781,Built-up  Area,Ready To Move,2050,100.0
5782,Super built-up  Area,Ready To Move,530,29.44
5783,Built-up  Area,19-Jun,2580 - 2591,139.5
5784,Super built-up  Area,Ready To Move,883,37.0
5785,Super built-up  Area,Ready To Move,1490,59.6
5786,Super built-up  Area,Ready To Move,1295,95.0
5787,Super built-up  Area,Ready To Move,1275,59.0
5788,Super built-up  Area,Ready To Move,800,30.0
5789,Super built-up  Area,Ready To Move,1200,95.0
5790,Super built-up  Area,Ready To Move,1063,58.0
5791,Super built-up  Area,Ready To Move,656,43.0
5792,Super built-up  Area,Ready To Move,1125,36.0
5793,Super built-up  Area,18-Dec,881,48.06
5794,Plot  Area,Ready To Move,1350,200.0
5795,Built-up  Area,Ready To Move,700,32.0
5796,Plot  Area,Ready To Move,1936,110.0
5797,Super built-up  Area,18-Dec,1680,101.0
5798,Super built-up  Area,Ready To Move,1253,57.0
5799,Super built-up  Area,Ready To Move,1640,230.0
5800,Super built-up  Area,Ready To Move,1082,50.0
5801,Built-up  Area,18-Dec,1065,30.75
5802,Super built-up  Area,18-Dec,2100,145.0
5803,Super built-up  Area,Ready To Move,1070,58.0
5804,Super built-up  Area,16-Sep,1280,57.6
5805,Plot  Area,18-Apr,1200,300.0
5806,Built-up  Area,18-Aug,1125,29.25
5807,Super built-up  Area,Ready To Move,1755,122.0
5808,Super built-up  Area,Ready To Move,1210,54.0
5809,Super built-up  Area,18-Sep,951,30.43
5810,Built-up  Area,18-Apr,1500,75.0
5811,Super built-up  Area,Ready To Move,1652.5,90.0
5812,Super built-up  Area,Ready To Move,1381,76.18
5813,Super built-up  Area,18-Dec,1085,57.0
5814,Super built-up  Area,18-Apr,905,50.0
5815,Super built-up  Area,Ready To Move,1685,95.0
5816,Super built-up  Area,Ready To Move,1200,75.0
5817,Super built-up  Area,Ready To Move,1151,42.9
5818,Built-up  Area,Ready To Move,3532,170.0
5819,Super built-up  Area,Ready To Move,1665,86.91
5820,Built-up  Area,Ready To Move,800,40.0
5821,Built-up  Area,Ready To Move,1050,162.0
5822,Super built-up  Area,Ready To Move,1030,46.5
5823,Super built-up  Area,Ready To Move,1257,71.03
5824,Super built-up  Area,18-Dec,1600,82.0
5825,Super built-up  Area,Ready To Move,1465,75.0
5826,Super built-up  Area,Ready To Move,1650,111.0
5827,Super built-up  Area,Ready To Move,1243,46.0
5828,Built-up  Area,Ready To Move,680,80.0
5829,Plot  Area,18-Aug,1230,80.0
5830,Super built-up  Area,Ready To Move,1300,82.0
5831,Built-up  Area,Ready To Move,1000,44.5
5832,Super built-up  Area,Ready To Move,1146,53.8
5833,Super built-up  Area,Ready To Move,1200,120.0
5834,Super built-up  Area,18-Mar,2601,312.0
5835,Super built-up  Area,Ready To Move,2159,110.0
5836,Super built-up  Area,Ready To Move,1255,40.0
5837,Super built-up  Area,Ready To Move,1130,60.0
5838,Super built-up  Area,Ready To Move,1200,60.0
5839,Built-up  Area,Ready To Move,1040,37.0
5840,Plot  Area,Ready To Move,1500,150.0
5841,Plot  Area,Ready To Move,906,55.0
5842,Super built-up  Area,Ready To Move,1180,41.3
5843,Plot  Area,Ready To Move,1200,169.0
5844,Plot  Area,Ready To Move,850,100.0
5845,Super built-up  Area,Ready To Move,1200,47.0
5846,Built-up  Area,Ready To Move,1374,51.0
5847,Super built-up  Area,Ready To Move,4700,130.0
5848,Super built-up  Area,19-Dec,613 - 648,32.15
5849,Plot  Area,Ready To Move,2400,480.0
5850,Super built-up  Area,Ready To Move,1027,44.0
5851,Plot  Area,Ready To Move,1200,130.0
5852,Super built-up  Area,Ready To Move,2384,165.0
5853,Super built-up  Area,19-Aug,1033,28.41
5854,Super built-up  Area,Ready To Move,1200,54.0
5855,Built-up  Area,Ready To Move,2017,105.0
5856,Plot  Area,Ready To Move,1500,138.0
5857,Super built-up  Area,Ready To Move,700,43.0
5858,Plot  Area,Ready To Move,1150,75.0
5859,Super built-up  Area,Ready To Move,1495,52.33
5860,Super built-up  Area,Ready To Move,1302,68.5
5861,Built-up  Area,18-Mar,905,52.0
5862,Super built-up  Area,Ready To Move,1303,55.79
5863,Built-up  Area,Ready To Move,1350,71.0
5864,Super built-up  Area,Ready To Move,1380,95.0
5865,Super built-up  Area,Ready To Move,1620,110.0
5866,Built-up  Area,Ready To Move,4800,250.0
5867,Super built-up  Area,Ready To Move,1000,38.5
5868,Plot  Area,Ready To Move,800,88.0
5869,Super built-up  Area,18-Apr,1250,54.0
5870,Built-up  Area,Ready To Move,1750,170.0
5871,Super built-up  Area,Ready To Move,997,55.0
5872,Super built-up  Area,15-Oct,1760,111.0
5873,Super built-up  Area,Ready To Move,1322,75.0
5874,Plot  Area,Ready To Move,1365,99.0
5875,Super built-up  Area,Ready To Move,1500,125.0
5876,Super built-up  Area,Ready To Move,1256,50.0
5877,Super built-up  Area,Ready To Move,941,48.0
5878,Plot  Area,Ready To Move,5000,465.0
5879,Super built-up  Area,Ready To Move,1665,86.58
5880,Super built-up  Area,Ready To Move,1414,84.18
5881,Super built-up  Area,Ready To Move,1270,55.25
5882,Plot  Area,Ready To Move,800,80.0
5883,Plot  Area,Ready To Move,4100,300.0
5884,Built-up  Area,Ready To Move,1800,105.0
5885,Built-up  Area,Ready To Move,850,35.0
5886,Super built-up  Area,21-Mar,712,38.44
5887,Super built-up  Area,17-Dec,2563 - 2733,251.5
5888,Plot  Area,Ready To Move,900,180.0
5889,Plot  Area,Ready To Move,900,55.0
5890,Super built-up  Area,Ready To Move,1200,49.0
5891,Super built-up  Area,Ready To Move,654,22.0
5892,Super built-up  Area,Ready To Move,708,55.0
5893,Plot  Area,Ready To Move,600,75.0
5894,Built-up  Area,Ready To Move,1680,135.0
5895,Super built-up  Area,Ready To Move,990,58.0
5896,Super built-up  Area,Ready To Move,1380,42.0
5897,Super built-up  Area,18-May,1088,62.0
5898,Super built-up  Area,Ready To Move,1414,77.5
5899,Built-up  Area,Ready To Move,1240,100.0
5900,Built-up  Area,Ready To Move,1810,118.0
5901,Super built-up  Area,19-Dec,2005,240.0
5902,Super built-up  Area,Ready To Move,1185,58.0
5903,Plot  Area,18-Oct,1200,57.15
5904,Super built-up  Area,Ready To Move,1070,52.0
5905,Super built-up  Area,Ready To Move,1265,58.0
5906,Built-up  Area,Ready To Move,1100,55.0
5907,Built-up  Area,Ready To Move,1035,44.0
5908,Super built-up  Area,Ready To Move,605 - 624,30.715
5909,Built-up  Area,Ready To Move,1000,97.0
5910,Super built-up  Area,Ready To Move,1179,49.35
5911,Super built-up  Area,Ready To Move,1650,84.0
5912,Plot  Area,Ready To Move,2800,100.0
5913,Plot  Area,Ready To Move,3500,120.0
5914,Built-up  Area,Ready To Move,1430,78.65
5915,Super built-up  Area,Ready To Move,1130,58.0
5916,Super built-up  Area,Ready To Move,1850,110.0
5917,Super built-up  Area,Ready To Move,1340,54.24
5918,Super built-up  Area,Ready To Move,4260 - 4408,338.0
5919,Plot  Area,Ready To Move,600,30.0
5920,Super built-up  Area,Ready To Move,2582,250.0
5921,Super built-up  Area,Ready To Move,1160,55.0
5922,Built-up  Area,Ready To Move,1200,45.0
5923,Built-up  Area,18-Aug,1116,37.6
5924,Plot  Area,Ready To Move,600,85.0
5925,Super built-up  Area,Ready To Move,2663,338.0
5926,Built-up  Area,Ready To Move,1090,45.0
5927,Super built-up  Area,Ready To Move,1100,45.0
5928,Super built-up  Area,18-Aug,1365,34.13
